,Region,Observation,Timeset,New Year's Day,New Year's Day observed,Twelfth Night,Orthodox Christmas Day,Orthodox New Year,Valentine's Day,Maha Shivaratri,Carnival / Shrove Tuesday,Carnival / Ash Wednesday,Holi,Purim,Mothering Sunday,Good Friday,Holy Saturday,Orthodox Holy Saturday,Orthodox Easter,Easter Sunday,Orthodox Easter Monday,Last day of Passover,St. George's Day,Shakespeare Day,Yom HaShoah,Isra and Mi'raj,Early May Bank Holiday,Spring Bank Holiday,Father's Day,Remembrance Sunday,Christmas Eve,Christmas Day,Boxing Day,New Year's Eve,Early May Bank Holiday / VE Day,Substitute Bank Holiday for Boxing Day,2nd January (substitute day),Burns Night,Easter Monday,Summer Bank Holiday
84,National,2018-08-12,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,National,2018-08-19,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,National,2018-08-26,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,National,2018-09-02,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,National,2018-09-09,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,National,2018-09-16,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,National,2018-09-23,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,National,2018-09-30,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,National,2018-10-07,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,National,2018-10-14,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,National,2018-10-21,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,National,2018-10-28,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,National,2018-11-04,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,National,2018-11-11,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,National,2018-11-18,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,National,2018-11-25,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,National,2018-12-02,Time Set No.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
